system,type,frame,time_ps,selected_resids,volume_A3
ATP-5,ATP,0,0.0,"555,368,373,551,674,600",1125.6191872521697
ATP-5,ATP,1,1000.0,"555,368,373,551,674,600",1153.8595565294345
ATP-5,ATP,2,2000.0,"555,368,373,551,674,600",1184.3882946064418
ATP-5,ATP,3,3000.0,"555,368,373,551,674,600",1093.1181343603935
ATP-5,ATP,4,4000.0,"555,368,373,551,674,600",1119.0039558678234
ATP-5,ATP,5,5000.0,"555,368,373,551,674,600",1168.2797721590573
ATP-5,ATP,6,6000.0,"555,368,373,551,674,600",1116.3990750450573
ATP-5,ATP,7,7000.0,"555,368,373,551,674,600",1080.3584371180716
ATP-5,ATP,8,8000.0,"555,368,373,551,674,600",1151.2926707702172
ATP-5,ATP,9,9000.0,"555,368,373,551,674,600",1118.2134780666884
ATP-5,ATP,10,10000.0,"555,368,373,551,674,600",1139.3847469526333
ATP-5,ATP,11,11000.0,"555,368,373,551,674,600",1188.0273008553359
ATP-5,ATP,12,12000.0,"555,368,373,551,674,600",1247.7513749594868
ATP-5,ATP,13,13000.0,"555,368,373,551,674,600",1170.7656682047204
ATP-5,ATP,14,14000.0,"555,368,373,551,674,600",1176.5176349830185
ATP-5,ATP,15,15000.0,"555,368,373,551,674,600",1147.5432405581455
ATP-5,ATP,16,16000.0,"555,368,373,551,674,600",1159.673299404348
ATP-5,ATP,17,17000.0,"555,368,373,551,674,600",1161.3644066836014
ATP-5,ATP,18,18000.0,"555,368,373,551,674,600",1127.3410624136495
ATP-5,ATP,19,19000.0,"555,368,373,551,674,600",1127.169674995201
ATP-5,ATP,20,20000.0,"555,368,373,551,674,600",1109.1298698830203
ATP-5,ATP,21,21000.0,"555,368,373,551,674,600",1107.1182314190517
ATP-5,ATP,22,22000.0,"555,368,373,551,674,600",1166.056943987861
ATP-5,ATP,23,23000.0,"555,368,373,551,674,600",1131.8087254041034
ATP-5,ATP,24,24000.0,"555,368,373,551,674,600",1094.1960577994328
ATP-5,ATP,25,25000.0,"555,368,373,551,674,600",1123.7755863764417
ATP-5,ATP,26,26000.0,"555,368,373,551,674,600",1120.335719202688
ATP-5,ATP,27,27000.0,"555,368,373,551,674,600",1131.5921721092243
ATP-5,ATP,28,28000.0,"555,368,373,551,674,600",1183.3203559225738
ATP-5,ATP,29,29000.0,"555,368,373,551,674,600",1155.1235958640043
ATP-5,ATP,30,30000.0,"555,368,373,551,674,600",1160.9712941868422
ATP-5,ATP,31,31000.0,"555,368,373,551,674,600",1117.3362921127891
ATP-5,ATP,32,32000.0,"555,368,373,551,674,600",1156.9240429809997
ATP-5,ATP,33,33000.0,"555,368,373,551,674,600",1123.896322431524
ATP-5,ATP,34,34000.0,"555,368,373,551,674,600",1086.410255875694
ATP-5,ATP,35,35000.0,"555,368,373,551,674,600",1116.9969012832469
ATP-5,ATP,36,36000.0,"555,368,373,551,674,600",1192.1717900506092
ATP-5,ATP,37,37000.0,"555,368,373,551,674,600",1154.0312702984959
ATP-5,ATP,38,38000.0,"555,368,373,551,674,600",1153.8523377991964
ATP-5,ATP,39,39000.0,"555,368,373,551,674,600",1188.7561316464985
ATP-5,ATP,40,40000.0,"555,368,373,551,674,600",1133.2075181707971
ATP-5,ATP,41,41000.0,"555,368,373,551,674,600",1115.1526584702988
ATP-5,ATP,42,42000.0,"555,368,373,551,674,600",1196.6369183017123
ATP-5,ATP,43,43000.0,"555,368,373,551,674,600",1144.4401852368958
ATP-5,ATP,44,44000.0,"555,368,373,551,674,600",1170.9363403202804
ATP-5,ATP,45,45000.0,"555,368,373,551,674,600",1134.1607868877772
ATP-5,ATP,46,46000.0,"555,368,373,551,674,600",1106.3958939778902
ATP-5,ATP,47,47000.0,"555,368,373,551,674,600",1084.0970765335119
ATP-5,ATP,48,48000.0,"555,368,373,551,674,600",1110.2548532900234
ATP-5,ATP,49,49000.0,"555,368,373,551,674,600",1149.8087221383594
ATP-5,ATP,50,50000.0,"555,368,373,551,674,600",1177.9164441103298
ATP-5,ATP,51,51000.0,"555,368,373,551,674,600",1138.8201741683595
ATP-5,ATP,52,52000.0,"555,368,373,551,674,600",1110.1053650917956
ATP-5,ATP,53,53000.0,"555,368,373,551,674,600",1118.9016412420592
ATP-5,ATP,54,54000.0,"555,368,373,551,674,600",1130.1639297469856
ATP-5,ATP,55,55000.0,"555,368,373,551,674,600",1137.471887678414
ATP-5,ATP,56,56000.0,"555,368,373,551,674,600",1232.1545559338624
ATP-5,ATP,57,57000.0,"555,368,373,551,674,600",1248.1427015272188
ATP-5,ATP,58,58000.0,"555,368,373,551,674,600",1295.0193431342366
ATP-5,ATP,59,59000.0,"555,368,373,551,674,600",1246.026863839884
ATP-5,ATP,60,60000.0,"555,368,373,551,674,600",1255.310129423847
ATP-5,ATP,61,61000.0,"555,368,373,551,674,600",1237.9808374192291
ATP-5,ATP,62,62000.0,"555,368,373,551,674,600",1277.957645723181
ATP-5,ATP,63,63000.0,"555,368,373,551,674,600",1204.912967131537
ATP-5,ATP,64,64000.0,"555,368,373,551,674,600",1244.5570663156386
ATP-5,ATP,65,65000.0,"555,368,373,551,674,600",1234.4471437041234
ATP-5,ATP,66,66000.0,"555,368,373,551,674,600",1205.0572753352528
ATP-5,ATP,67,67000.0,"555,368,373,551,674,600",1214.5607127155602
ATP-5,ATP,68,68000.0,"555,368,373,551,674,600",1244.2794530510419
ATP-5,ATP,69,69000.0,"555,368,373,551,674,600",1277.6899557386944
ATP-5,ATP,70,70000.0,"555,368,373,551,674,600",1273.26759556353
ATP-5,ATP,71,71000.0,"555,368,373,551,674,600",1234.8911075419303
ATP-5,ATP,72,72000.0,"555,368,373,551,674,600",1253.8987998275088
ATP-5,ATP,73,73000.0,"555,368,373,551,674,600",1217.371501321513
ATP-5,ATP,74,74000.0,"555,368,373,551,674,600",1229.4413413820744
ATP-5,ATP,75,75000.0,"555,368,373,551,674,600",1231.0391361892707
ATP-5,ATP,76,76000.0,"555,368,373,551,674,600",1235.0063753385311
ATP-5,ATP,77,77000.0,"555,368,373,551,674,600",1279.1967742795116
ATP-5,ATP,78,78000.0,"555,368,373,551,674,600",1173.5059586169587
ATP-5,ATP,79,79000.0,"555,368,373,551,674,600",1210.2793602305965
ATP-5,ATP,80,80000.0,"555,368,373,551,674,600",1182.1836718151358
ATP-5,ATP,81,81000.0,"555,368,373,551,674,600",1169.7979507633215
ATP-5,ATP,82,82000.0,"555,368,373,551,674,600",1287.6059255162866
ATP-5,ATP,83,83000.0,"555,368,373,551,674,600",1183.8126300321255
ATP-5,ATP,84,84000.0,"555,368,373,551,674,600",1252.1027151603898
ATP-5,ATP,85,85000.0,"555,368,373,551,674,600",1254.0039949896639
ATP-5,ATP,86,86000.0,"555,368,373,551,674,600",1299.7591607976133
ATP-5,ATP,87,87000.0,"555,368,373,551,674,600",1249.5946378216258
ATP-5,ATP,88,88000.0,"555,368,373,551,674,600",1199.5831895282215
ATP-5,ATP,89,89000.0,"555,368,373,551,674,600",1243.0921461454009
ATP-5,ATP,90,90000.0,"555,368,373,551,674,600",1249.633360366992
ATP-5,ATP,91,91000.0,"555,368,373,551,674,600",1256.7871968501615
ATP-5,ATP,92,92000.0,"555,368,373,551,674,600",1192.953664913387
ATP-5,ATP,93,93000.0,"555,368,373,551,674,600",1235.4729487013021
ATP-5,ATP,94,94000.0,"555,368,373,551,674,600",1206.7502563684916
ATP-5,ATP,95,95000.0,"555,368,373,551,674,600",1224.7006426373844
ATP-5,ATP,96,96000.0,"555,368,373,551,674,600",1250.83738217425
ATP-5,ATP,97,97000.0,"555,368,373,551,674,600",1224.7992035055577
ATP-5,ATP,98,98000.0,"555,368,373,551,674,600",1230.1186668397786
ATP-5,ATP,99,99000.0,"555,368,373,551,674,600",1264.0197132289106
ATP-5,ATP,100,100000.0,"555,368,373,551,674,600",1266.142850068164
ATP-5,ATP,101,101000.0,"555,368,373,551,674,600",1292.6529499419166
ATP-5,ATP,102,102000.0,"555,368,373,551,674,600",1233.0228113837643
ATP-5,ATP,103,103000.0,"555,368,373,551,674,600",1248.2359858691298
ATP-5,ATP,104,104000.0,"555,368,373,551,674,600",1231.7472427202763
ATP-5,ATP,105,105000.0,"555,368,373,551,674,600",1243.616126881564
ATP-5,ATP,106,106000.0,"555,368,373,551,674,600",1221.4273645550177
ATP-5,ATP,107,107000.0,"555,368,373,551,674,600",1207.785623614041
ATP-5,ATP,108,108000.0,"555,368,373,551,674,600",1202.9124583124913
ATP-5,ATP,109,109000.0,"555,368,373,551,674,600",1152.686119113973
ATP-5,ATP,110,110000.0,"555,368,373,551,674,600",1233.318424637558
ATP-5,ATP,111,111000.0,"555,368,373,551,674,600",1271.5710236324185
ATP-5,ATP,112,112000.0,"555,368,373,551,674,600",1205.5050564012358
ATP-5,ATP,113,113000.0,"555,368,373,551,674,600",1187.4052941336984
ATP-5,ATP,114,114000.0,"555,368,373,551,674,600",1252.9969020086303
ATP-5,ATP,115,115000.0,"555,368,373,551,674,600",1252.172594550114
ATP-5,ATP,116,116000.0,"555,368,373,551,674,600",1265.933894225987
ATP-5,ATP,117,117000.0,"555,368,373,551,674,600",1191.2153702921119
ATP-5,ATP,118,118000.0,"555,368,373,551,674,600",1206.8281429934113
ATP-5,ATP,119,119000.0,"555,368,373,551,674,600",1233.7979834839296
ATP-5,ATP,120,120000.0,"555,368,373,551,674,600",1196.3863670311207
ATP-5,ATP,121,121000.0,"555,368,373,551,674,600",1193.9000071240532
ATP-5,ATP,122,122000.0,"555,368,373,551,674,600",1242.0289960633302
ATP-5,ATP,123,123000.0,"555,368,373,551,674,600",1172.856152819535
ATP-5,ATP,124,124000.0,"555,368,373,551,674,600",1270.313744113155
ATP-5,ATP,125,125000.0,"555,368,373,551,674,600",1216.875051934651
ATP-5,ATP,126,126000.0,"555,368,373,551,674,600",1208.01234488529
ATP-5,ATP,127,127000.0,"555,368,373,551,674,600",1177.80299599407
ATP-5,ATP,128,128000.0,"555,368,373,551,674,600",1254.240135001015
ATP-5,ATP,129,129000.0,"555,368,373,551,674,600",1247.739918851863
ATP-5,ATP,130,130000.0,"555,368,373,551,674,600",1314.364389457308
ATP-5,ATP,131,131000.0,"555,368,373,551,674,600",1262.6196737659088
ATP-5,ATP,132,132000.0,"555,368,373,551,674,600",1197.5755620409798
ATP-5,ATP,133,133000.0,"555,368,373,551,674,600",1290.5627141057212
ATP-5,ATP,134,134000.0,"555,368,373,551,674,600",1238.5886900082774
ATP-5,ATP,135,135000.0,"555,368,373,551,674,600",1254.7272089425996
ATP-5,ATP,136,136000.0,"555,368,373,551,674,600",1206.1647395731836
ATP-5,ATP,137,137000.0,"555,368,373,551,674,600",1221.4098955106354
ATP-5,ATP,138,138000.0,"555,368,373,551,674,600",1175.7765688795885
ATP-5,ATP,139,139000.0,"555,368,373,551,674,600",1229.6760804370062
ATP-5,ATP,140,140000.0,"555,368,373,551,674,600",1232.1006486029896
ATP-5,ATP,141,141000.0,"555,368,373,551,674,600",1244.9654977601872
ATP-5,ATP,142,142000.0,"555,368,373,551,674,600",1244.1758712844996
ATP-5,ATP,143,143000.0,"555,368,373,551,674,600",1252.213157059554
ATP-5,ATP,144,144000.0,"555,368,373,551,674,600",1226.0031029831719
ATP-5,ATP,145,145000.0,"555,368,373,551,674,600",1249.8239434103239
ATP-5,ATP,146,146000.0,"555,368,373,551,674,600",1264.0517319854152
ATP-5,ATP,147,147000.0,"555,368,373,551,674,600",1250.997708707036
ATP-5,ATP,148,148000.0,"555,368,373,551,674,600",1218.2021134433223
ATP-5,ATP,149,149000.0,"555,368,373,551,674,600",1223.5039833219844
ATP-5,ATP,150,150000.0,"555,368,373,551,674,600",1187.0308345978688
ATP-5,ATP,151,151000.0,"555,368,373,551,674,600",1273.676335279738
ATP-5,ATP,152,152000.0,"555,368,373,551,674,600",1273.7568088595826
ATP-5,ATP,153,153000.0,"555,368,373,551,674,600",1240.5236139146518
ATP-5,ATP,154,154000.0,"555,368,373,551,674,600",1239.949742718342
ATP-5,ATP,155,155000.0,"555,368,373,551,674,600",1280.2497771708522
ATP-5,ATP,156,156000.0,"555,368,373,551,674,600",1227.6253406263095
ATP-5,ATP,157,157000.0,"555,368,373,551,674,600",1221.6309328235802
ATP-5,ATP,158,158000.0,"555,368,373,551,674,600",1233.8739053449244
ATP-5,ATP,159,159000.0,"555,368,373,551,674,600",1245.0380955304256
ATP-5,ATP,160,160000.0,"555,368,373,551,674,600",1293.0073954490792
ATP-5,ATP,161,161000.0,"555,368,373,551,674,600",1244.9647399017235
ATP-5,ATP,162,162000.0,"555,368,373,551,674,600",1171.1439661183017
ATP-5,ATP,163,163000.0,"555,368,373,551,674,600",1203.0592667053147
ATP-5,ATP,164,164000.0,"555,368,373,551,674,600",1259.033618715038
ATP-5,ATP,165,165000.0,"555,368,373,551,674,600",1266.0190865355482
ATP-5,ATP,166,166000.0,"555,368,373,551,674,600",1256.4434700069376
ATP-5,ATP,167,167000.0,"555,368,373,551,674,600",1226.1494955013652
ATP-5,ATP,168,168000.0,"555,368,373,551,674,600",1231.4121913257702
ATP-5,ATP,169,169000.0,"555,368,373,551,674,600",1197.4251554679877
ATP-5,ATP,170,170000.0,"555,368,373,551,674,600",1248.9516080538128
ATP-5,ATP,171,171000.0,"555,368,373,551,674,600",1203.8635305930097
ATP-5,ATP,172,172000.0,"555,368,373,551,674,600",1230.646382483231
ATP-5,ATP,173,173000.0,"555,368,373,551,674,600",1217.2025792164525
ATP-5,ATP,174,174000.0,"555,368,373,551,674,600",1205.8343940340164
ATP-5,ATP,175,175000.0,"555,368,373,551,674,600",1270.2947987754144
ATP-5,ATP,176,176000.0,"555,368,373,551,674,600",1207.8057849793247
ATP-5,ATP,177,177000.0,"555,368,373,551,674,600",1228.5180227904068
ATP-5,ATP,178,178000.0,"555,368,373,551,674,600",1277.164655104193
ATP-5,ATP,179,179000.0,"555,368,373,551,674,600",1254.1964167197336
ATP-5,ATP,180,180000.0,"555,368,373,551,674,600",1207.9857283063384
ATP-5,ATP,181,181000.0,"555,368,373,551,674,600",1189.2361427314129
ATP-5,ATP,182,182000.0,"555,368,373,551,674,600",1240.8396227433186
ATP-5,ATP,183,183000.0,"555,368,373,551,674,600",1226.2400187920528
ATP-5,ATP,184,184000.0,"555,368,373,551,674,600",1238.410183874793
ATP-5,ATP,185,185000.0,"555,368,373,551,674,600",1267.639844997639
ATP-5,ATP,186,186000.0,"555,368,373,551,674,600",1222.6479111545098
ATP-5,ATP,187,187000.0,"555,368,373,551,674,600",1245.6365957525911
ATP-5,ATP,188,188000.0,"555,368,373,551,674,600",1234.5255631330056
ATP-5,ATP,189,189000.0,"555,368,373,551,674,600",1234.8928097657242
ATP-5,ATP,190,190000.0,"555,368,373,551,674,600",1236.3985098313115
ATP-5,ATP,191,191000.0,"555,368,373,551,674,600",1222.5713127597865
ATP-5,ATP,192,192000.0,"555,368,373,551,674,600",1206.775946659698
ATP-5,ATP,193,193000.0,"555,368,373,551,674,600",1215.7468391235013
ATP-5,ATP,194,194000.0,"555,368,373,551,674,600",1189.9625602079307
ATP-5,ATP,195,195000.0,"555,368,373,551,674,600",1200.5211789517398
ATP-5,ATP,196,196000.0,"555,368,373,551,674,600",1197.158197347521
ATP-5,ATP,197,197000.0,"555,368,373,551,674,600",1225.2928614216994
ATP-5,ATP,198,198000.0,"555,368,373,551,674,600",1220.461663696008
ATP-5,ATP,199,199000.0,"555,368,373,551,674,600",1206.5834653253005
ATP-5,ATP,200,200000.0,"555,368,373,551,674,600",1180.3449787732807
ATP-5,ATP,201,201000.0,"555,368,373,551,674,600",1208.4826207586718
ATP-5,ATP,202,202000.0,"555,368,373,551,674,600",1238.6807496903914
ATP-5,ATP,203,203000.0,"555,368,373,551,674,600",1161.2576698380442
ATP-5,ATP,204,204000.0,"555,368,373,551,674,600",1186.3145208072672
ATP-5,ATP,205,205000.0,"555,368,373,551,674,600",1182.2017576756066
ATP-5,ATP,206,206000.0,"555,368,373,551,674,600",1183.5834177150969
ATP-5,ATP,207,207000.0,"555,368,373,551,674,600",1188.6449513131408
ATP-5,ATP,208,208000.0,"555,368,373,551,674,600",1193.7481751077516
ATP-5,ATP,209,209000.0,"555,368,373,551,674,600",1220.170154038638
