system,type,frame,time_ps,selected_resids,volume_A3
ATP-1,ATP,0,0.0,"555,368,373,551,674,600",1125.6191872521697
ATP-1,ATP,1,1000.0,"555,368,373,551,674,600",1133.354460587046
ATP-1,ATP,2,2000.0,"555,368,373,551,674,600",1129.485089632685
ATP-1,ATP,3,3000.0,"555,368,373,551,674,600",1158.2483573087027
ATP-1,ATP,4,4000.0,"555,368,373,551,674,600",1111.2905324029539
ATP-1,ATP,5,5000.0,"555,368,373,551,674,600",1139.5508222852843
ATP-1,ATP,6,6000.0,"555,368,373,551,674,600",1204.965377983129
ATP-1,ATP,7,7000.0,"555,368,373,551,674,600",1116.4782127852443
ATP-1,ATP,8,8000.0,"555,368,373,551,674,600",1146.8034223055606
ATP-1,ATP,9,9000.0,"555,368,373,551,674,600",1164.3288803322534
ATP-1,ATP,10,10000.0,"555,368,373,551,674,600",1201.3620100893224
ATP-1,ATP,11,11000.0,"555,368,373,551,674,600",1137.5982603737666
ATP-1,ATP,12,12000.0,"555,368,373,551,674,600",1125.3101593530137
ATP-1,ATP,13,13000.0,"555,368,373,551,674,600",1155.9909475788747
ATP-1,ATP,14,14000.0,"555,368,373,551,674,600",1230.6394755431188
ATP-1,ATP,15,15000.0,"555,368,373,551,674,600",1229.2813886625902
ATP-1,ATP,16,16000.0,"555,368,373,551,674,600",1213.265120525485
ATP-1,ATP,17,17000.0,"555,368,373,551,674,600",1230.52506097066
ATP-1,ATP,18,18000.0,"555,368,373,551,674,600",1210.524877905943
ATP-1,ATP,19,19000.0,"555,368,373,551,674,600",1157.9212917525858
ATP-1,ATP,20,20000.0,"555,368,373,551,674,600",1106.7393993064054
ATP-1,ATP,21,21000.0,"555,368,373,551,674,600",1158.6422208214988
ATP-1,ATP,22,22000.0,"555,368,373,551,674,600",1171.4035162805214
ATP-1,ATP,23,23000.0,"555,368,373,551,674,600",1169.3301756508806
ATP-1,ATP,24,24000.0,"555,368,373,551,674,600",1154.5117801870642
ATP-1,ATP,25,25000.0,"555,368,373,551,674,600",1237.0690728246668
ATP-1,ATP,26,26000.0,"555,368,373,551,674,600",1166.1364973511622
ATP-1,ATP,27,27000.0,"555,368,373,551,674,600",1142.9631588307925
ATP-1,ATP,28,28000.0,"555,368,373,551,674,600",1171.4870879720388
ATP-1,ATP,29,29000.0,"555,368,373,551,674,600",1129.3905916773515
