system,type,frame,time_ps,selected_resids,volume_A3
CRYO-1,CRYO,34,34000.0,"555,368,373,551,674,600",1222.2593676896113
CRYO-1,CRYO,35,35000.0,"555,368,373,551,674,600",1242.6063932787806
CRYO-1,CRYO,36,36000.0,"555,368,373,551,674,600",1220.2911072237155
CRYO-1,CRYO,37,37000.0,"555,368,373,551,674,600",1195.8214396690519
CRYO-1,CRYO,38,38000.0,"555,368,373,551,674,600",1227.4508892369633
CRYO-1,CRYO,39,39000.0,"555,368,373,551,674,600",1239.5824046791297
CRYO-1,CRYO,40,40000.0,"555,368,373,551,674,600",1160.2874260586477
CRYO-1,CRYO,41,41000.0,"555,368,373,551,674,600",1170.135639473943
CRYO-1,CRYO,42,42000.0,"555,368,373,551,674,600",1184.0693949308452
CRYO-1,CRYO,43,43000.0,"555,368,373,551,674,600",1159.029500629231
CRYO-1,CRYO,44,44000.0,"555,368,373,551,674,600",1173.3462700654827
CRYO-1,CRYO,45,45000.0,"555,368,373,551,674,600",1180.8987101987218
CRYO-1,CRYO,46,46000.0,"555,368,373,551,674,600",1187.003049752049
CRYO-1,CRYO,47,47000.0,"555,368,373,551,674,600",1201.5649648741937
CRYO-1,CRYO,48,48000.0,"555,368,373,551,674,600",1195.7637771344762
CRYO-1,CRYO,49,49000.0,"555,368,373,551,674,600",1148.6072359969446
CRYO-1,CRYO,50,50000.0,"555,368,373,551,674,600",1198.5843757582502
CRYO-1,CRYO,51,51000.0,"555,368,373,551,674,600",1184.4442189281394
CRYO-1,CRYO,52,52000.0,"555,368,373,551,674,600",1223.9058569291997
CRYO-1,CRYO,53,53000.0,"555,368,373,551,674,600",1251.838588689048
CRYO-1,CRYO,54,54000.0,"555,368,373,551,674,600",1151.3226443882454
CRYO-1,CRYO,55,55000.0,"555,368,373,551,674,600",1210.385981384433
CRYO-1,CRYO,56,56000.0,"555,368,373,551,674,600",1165.662019887338
CRYO-1,CRYO,57,57000.0,"555,368,373,551,674,600",1153.1888235256438
CRYO-1,CRYO,58,58000.0,"555,368,373,551,674,600",1232.8741118583587
CRYO-1,CRYO,59,59000.0,"555,368,373,551,674,600",1212.4321021227943
CRYO-1,CRYO,60,60000.0,"555,368,373,551,674,600",1182.4807774337353
CRYO-1,CRYO,61,61000.0,"555,368,373,551,674,600",1214.8755841518255
CRYO-1,CRYO,62,62000.0,"555,368,373,551,674,600",1182.6062854967688
CRYO-1,CRYO,63,63000.0,"555,368,373,551,674,600",1202.4094389387014
CRYO-1,CRYO,64,64000.0,"555,368,373,551,674,600",1182.2225399940655
CRYO-1,CRYO,65,65000.0,"555,368,373,551,674,600",1218.6782103723208
CRYO-1,CRYO,66,66000.0,"555,368,373,551,674,600",1239.3956713648656
CRYO-1,CRYO,67,67000.0,"555,368,373,551,674,600",1170.156252801831
CRYO-1,CRYO,68,68000.0,"555,368,373,551,674,600",1203.1819890654017
CRYO-1,CRYO,69,69000.0,"555,368,373,551,674,600",1191.8666250921501
CRYO-1,CRYO,70,70000.0,"555,368,373,551,674,600",1202.5960181128332
CRYO-1,CRYO,71,71000.0,"555,368,373,551,674,600",1226.064510609173
CRYO-1,CRYO,72,72000.0,"555,368,373,551,674,600",1223.0696622958728
CRYO-1,CRYO,73,73000.0,"555,368,373,551,674,600",1241.6202326478765
CRYO-1,CRYO,74,74000.0,"555,368,373,551,674,600",1181.9507052638412
CRYO-1,CRYO,75,75000.0,"555,368,373,551,674,600",1241.4945388327167
CRYO-1,CRYO,76,76000.0,"555,368,373,551,674,600",1208.7802009094275
CRYO-1,CRYO,77,77000.0,"555,368,373,551,674,600",1210.2153226548637
CRYO-1,CRYO,78,78000.0,"555,368,373,551,674,600",1255.9017981802579
CRYO-1,CRYO,79,79000.0,"555,368,373,551,674,600",1145.4594180389752
CRYO-1,CRYO,80,80000.0,"555,368,373,551,674,600",1227.1223331047133
CRYO-1,CRYO,81,81000.0,"555,368,373,551,674,600",1198.833405856036
CRYO-1,CRYO,82,82000.0,"555,368,373,551,674,600",1176.1056980688638
CRYO-1,CRYO,83,83000.0,"555,368,373,551,674,600",1221.8231859268324
CRYO-1,CRYO,84,84000.0,"555,368,373,551,674,600",1191.771262254933
CRYO-1,CRYO,85,85000.0,"555,368,373,551,674,600",1163.1144318657152
CRYO-1,CRYO,86,86000.0,"555,368,373,551,674,600",1201.3466335728572
CRYO-1,CRYO,87,87000.0,"555,368,373,551,674,600",1171.5121386017522
CRYO-1,CRYO,88,88000.0,"555,368,373,551,674,600",1182.7896445574693
CRYO-1,CRYO,89,89000.0,"555,368,373,551,674,600",1232.1290805036
CRYO-1,CRYO,90,90000.0,"555,368,373,551,674,600",1204.6348283198417
CRYO-1,CRYO,91,91000.0,"555,368,373,551,674,600",1257.5069701701043
CRYO-1,CRYO,92,92000.0,"555,368,373,551,674,600",1183.3558133523363
CRYO-1,CRYO,93,93000.0,"555,368,373,551,674,600",1215.0615522455912
CRYO-1,CRYO,94,94000.0,"555,368,373,551,674,600",1200.558043915994
CRYO-1,CRYO,95,95000.0,"555,368,373,551,674,600",1190.759264861045
CRYO-1,CRYO,96,96000.0,"555,368,373,551,674,600",1243.9594794796456
CRYO-1,CRYO,97,97000.0,"555,368,373,551,674,600",1236.9294742706709
CRYO-1,CRYO,98,98000.0,"555,368,373,551,674,600",1300.5568173534473
