system,type,frame,time_ps,selected_resids,volume_A3
ATP-2,ATP,0,0.0,"555,368,373,551,674,600",1125.6191872521697
ATP-2,ATP,1,1000.0,"555,368,373,551,674,600",1204.2254621047482
ATP-2,ATP,2,2000.0,"555,368,373,551,674,600",1203.295058101404
ATP-2,ATP,3,3000.0,"555,368,373,551,674,600",1184.8831609131055
ATP-2,ATP,4,4000.0,"555,368,373,551,674,600",1197.1610345231863
ATP-2,ATP,5,5000.0,"555,368,373,551,674,600",1213.9948188429712
ATP-2,ATP,6,6000.0,"555,368,373,551,674,600",1104.209662224499
ATP-2,ATP,7,7000.0,"555,368,373,551,674,600",1115.976555445899
ATP-2,ATP,8,8000.0,"555,368,373,551,674,600",1222.1616237937105
ATP-2,ATP,9,9000.0,"555,368,373,551,674,600",1128.8125458885072
ATP-2,ATP,10,10000.0,"555,368,373,551,674,600",1174.3109249629235
ATP-2,ATP,11,11000.0,"555,368,373,551,674,600",1234.2577100294268
ATP-2,ATP,12,12000.0,"555,368,373,551,674,600",1268.6437504948033
ATP-2,ATP,13,13000.0,"555,368,373,551,674,600",1165.9479232168644
ATP-2,ATP,14,14000.0,"555,368,373,551,674,600",1193.3477108115999
ATP-2,ATP,15,15000.0,"555,368,373,551,674,600",1231.6746536560138
ATP-2,ATP,16,16000.0,"555,368,373,551,674,600",1194.0204285069115
ATP-2,ATP,17,17000.0,"555,368,373,551,674,600",1195.1356459681415
ATP-2,ATP,18,18000.0,"555,368,373,551,674,600",1235.402383624224
ATP-2,ATP,19,19000.0,"555,368,373,551,674,600",1247.2077513023166
ATP-2,ATP,20,20000.0,"555,368,373,551,674,600",1217.9341120271547
ATP-2,ATP,21,21000.0,"555,368,373,551,674,600",1254.118938627006
ATP-2,ATP,22,22000.0,"555,368,373,551,674,600",1192.0216333542774
ATP-2,ATP,23,23000.0,"555,368,373,551,674,600",1197.2644489799072
ATP-2,ATP,24,24000.0,"555,368,373,551,674,600",1156.6805102467595
ATP-2,ATP,25,25000.0,"555,368,373,551,674,600",1208.2059814265083
ATP-2,ATP,26,26000.0,"555,368,373,551,674,600",1170.419770102842
ATP-2,ATP,27,27000.0,"555,368,373,551,674,600",1209.7672940025661
ATP-2,ATP,28,28000.0,"555,368,373,551,674,600",1214.2839824113155
ATP-2,ATP,29,29000.0,"555,368,373,551,674,600",1203.1294695546653
ATP-2,ATP,30,30000.0,"555,368,373,551,674,600",1220.819859222169
