system,type,frame,time_ps,selected_resids,volume_A3
ATP-4,ATP,0,0.0,"555,368,373,551,674,600",1125.6191872521697
ATP-4,ATP,1,1000.0,"555,368,373,551,674,600",1231.9516387372087
ATP-4,ATP,2,2000.0,"555,368,373,551,674,600",1154.338660560441
ATP-4,ATP,3,3000.0,"555,368,373,551,674,600",1204.7670192682515
ATP-4,ATP,4,4000.0,"555,368,373,551,674,600",1120.0731929482563
ATP-4,ATP,5,5000.0,"555,368,373,551,674,600",1124.7765316596085
ATP-4,ATP,6,6000.0,"555,368,373,551,674,600",1198.460811422556
ATP-4,ATP,7,7000.0,"555,368,373,551,674,600",1167.5069444779938
ATP-4,ATP,8,8000.0,"555,368,373,551,674,600",1106.0003245578446
ATP-4,ATP,9,9000.0,"555,368,373,551,674,600",1188.1446822811286
ATP-4,ATP,10,10000.0,"555,368,373,551,674,600",1151.7400634400078
ATP-4,ATP,11,11000.0,"555,368,373,551,674,600",1187.735553875133
ATP-4,ATP,12,12000.0,"555,368,373,551,674,600",1204.4733644417154
ATP-4,ATP,13,13000.0,"555,368,373,551,674,600",1173.7980102852707
ATP-4,ATP,14,14000.0,"555,368,373,551,674,600",1160.3173269741449
ATP-4,ATP,15,15000.0,"555,368,373,551,674,600",1147.0880994069917
ATP-4,ATP,16,16000.0,"555,368,373,551,674,600",1122.4793761462329
ATP-4,ATP,17,17000.0,"555,368,373,551,674,600",1207.9718380739566
ATP-4,ATP,18,18000.0,"555,368,373,551,674,600",1235.1829196308092
ATP-4,ATP,19,19000.0,"555,368,373,551,674,600",1187.2630580368595
ATP-4,ATP,20,20000.0,"555,368,373,551,674,600",1164.2414744442642
ATP-4,ATP,21,21000.0,"555,368,373,551,674,600",1153.124234469534
ATP-4,ATP,22,22000.0,"555,368,373,551,674,600",1197.560849474077
ATP-4,ATP,23,23000.0,"555,368,373,551,674,600",1197.9913979508558
ATP-4,ATP,24,24000.0,"555,368,373,551,674,600",1178.0924286394338
ATP-4,ATP,25,25000.0,"555,368,373,551,674,600",1178.0831372615985
ATP-4,ATP,26,26000.0,"555,368,373,551,674,600",1164.8448641541033
ATP-4,ATP,27,27000.0,"555,368,373,551,674,600",1239.833999262134
ATP-4,ATP,28,28000.0,"555,368,373,551,674,600",1145.4495229921633
ATP-4,ATP,29,29000.0,"555,368,373,551,674,600",1204.6193523693812
ATP-4,ATP,30,30000.0,"555,368,373,551,674,600",1178.9277991986958
ATP-4,ATP,31,31000.0,"555,368,373,551,674,600",1190.4667746002237
ATP-4,ATP,32,32000.0,"555,368,373,551,674,600",1224.814481479321
